links,names,ratings,price for one,cuisine
https://www.zomato.com/kanpur/molecule-air-bar-and-kitchen-mall-road/info,Molecule Air Bar and Kitchen,4.4,"₹2,200 for two","North Indian, Chinese, Continental"
https://www.zomato.com/kanpur/amritsari-haveli-lajpat-nagar/info,Amritsari Haveli,3.9,"₹1,700 for two","North Indian, Biryani, Continental, Chinese, Mughlai, Cafe"
https://www.zomato.com/kanpur/flavours-of-cawnpore-keshavpuram/info,Flavours Of Cawnpore,4.2,₹800 for two,"North Indian, Chinese, Biryani, Momos, Fast Food, Salad, Desserts, Beverages"
https://www.zomato.com/kanpur/sidewalk-bakehouse-cafe-swaroop-nagar/info,Sidewalk Bakehouse & Cafe,4.2,"₹1,300 for two","Continental, Seafood, Italian, Mexican, Bakery, Desserts, Coffee, Beverages"
https://www.zomato.com/kanpur/aviary-cocktail-nest-shastri-nagar/info,Aviary Cocktail Nest,4.9,"₹1,500 for two","North Indian, Biryani, Italian, Asian, Pizza, Desserts"
https://www.zomato.com/kanpur/bella-tilak-nagar/info,Bella,4.0,"₹1,400 for two","North Indian, Fast Food, Chinese"
https://www.zomato.com/kanpur/studio-xo-bar-mall-road/info,Studio XO Bar,New,₹200 for two,"North Indian, Chinese, Pizza"
https://www.zomato.com/kanpur/wow-momo-nandlal-chawraha/info,WOW! Momo,4.1,₹400 for two,"Momos, Chinese, Fast Food, Asian, Beverages"
https://www.zomato.com/kanpur/offline-cafe-tilak-nagar/info,Offline Cafe,4.0,₹450 for two,"Cafe, North Indian, Fast Food, Shake, Desserts, Italian, Burger, Pizza"
https://www.zomato.com/kanpur/shor-lounge-bar-swaroop-nagar/info,Shor - Lounge & Bar,4.2,"₹1,800 for two","Chinese, North Indian, Italian, Finger Food, Sichuan"
